Variable	DescrCA	DescrES	DescrEN	Valor_Value	LabelCA	LabelES	LabelEN
PB010	Any de l'enquesta	Año de la encuesta	Survey year				
PB020	País	País	Country				
PB020				ES	Codi del país	Código de país	Country code
PB030 	Identificació transversal de la persona	Identificación transversal de la persona	Cross-sectional person identification				
PB040	Factor de ponderació personal transversal multiplicat per 100.000 (tots els membres de la llar de 16 anys o més) (factor de ponderació = PB040 / 100.000)	Factor de ponderación personal transversal multiplicado por 100.000 (todos los miembros del hogar de 16 años o más) (Factor ponderación = PB040 / 100.000)	Cross-sectional personal weighting factor multiplied by 100,000 (all household members aged 16 and over) (weighting factor = PB040 / 100,000)				
PB040_F 	Variable que indica si PB040 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB040 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB040 is complete, if it is missing or if it is not applicable in the record in question.				
PB040_F 				1	Variable completada	Variable completada	Variable completed
PB100	Mes de l'entrevista	Mes de la entrevista	Month of the interview				
PB100				1	Gener	Enero	January
PB100				2	Febrer	Febrero	February
PB100				3	Març	Marzo	March
PB100				4	Abril	Abril	April
PB100				5	Maig	Mayo	May
PB100				6	Juny	Junio	June
PB100				7	Juliol	Julio	July
PB100				8	Agost	Agosto	August
PB100				9	Setembre	Septiembre	September
PB100				10	Octubre	Octubre	October
PB100				11	Novembre	Noviembre	November
PB100				12	Desembre	Diciembre	December
PB100_F	Variable que indica si PB100 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB100 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB100 is complete, if it is missing or if it is not applicable in the record in question.				
PB100_F				1	Variable completada	Variable completada	Variable completed
PB100_F				97	No hi consta	No consta	No answer
PB110 	Any de l'entrevista	Año de la entrevista	Year of the interview				
PB110_F				1	Variable completada	Variable completada	Variable completed
PB120	Nombre de minuts emprats a emplenar el qüestionari sobre la llar	Número de minutos empleados en cumplimentar el cuestionario	Number of minutes taken to complete the household questionnaire				
PB120_F 	Variable que indica si PB120 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB120 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB120 is complete, if it is missing or if it is not applicable in the record in question.				
PB120_F 				1	Variable completada	Variable completada	Variable completed
PB120_F 				97	No hi consta	No consta	No answer
PB140 	Any de naixement	Año de nacimiento	Year of birth				
PB140_F	Variable que indica si PB140 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB140 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB140 is complete, if it is missing or if it is not applicable in the record in question.				
PB140_F				1	Variable completada	Variable completada	Variable completed
PB150 	Sexe	Sexo	Sex				
PB150 				1	Home	Varón	Man
PB150 				2	Dona	Mujer	Woman
PB150_F 	Variable que indica si PB150 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB150 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB150 is complete, if it is missing or if it is not applicable in the record in question.				
PB150_F 				1	Variable completada	Variable completada	Variable completed
PB160 	Identificació del pare	Identificación del padre	Identification of the father				
PB160_F 	Variable que indica si PB160 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB160 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB160 is complete, if it is missing or if it is not applicable in the record in question.				
PB160_F 				1	Variable completada	Variable completada	Variable completed
PB160_F 				96	N.A. (El pare no és membre de la llar o no té pare)	N.A. (El padre no es miembro del hogar o no tiene padre)	N/A (The father is not a member of the household or he/she has no father)
PB170 	Identificació de la mare	Identificación de la madre	Identification of the mother				
PB170_F	Variable que indica si PB170 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB170 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB170 is complete, if it is missing or if it is not applicable in the record in question.				
PB170_F				1	Variable completada	Variable completada	Variable completed
PB170_F				96	N.A. (La mare no és membre de la llar o no té mare)	N.A. (La madre no es miembro del hogar o no tiene madre)	N/A (The mother is not a member of the household or he/she has no mother)
PB180 	Identificació del cònjugue/parella	Identificación del cónyuge/pareja	Identification of spouse/partner				
PB180_F 	Variable que indica si PB180 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB180 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB180 is complete, if it is missing or if it is not applicable in the record in question.				
PB180_F 				1	Variable completada	Variable completada	Variable completed
PB180_F 				96	N.A. (No té cònjuge o parella o no és membre de la llar)	N.A. (No tiene cónyuge o pareja o ésta no es miembro del hogar)	N/A (He/she has no spouse or partner or he/she is not a member of the household)
PB190 	Estat civil	Estado civil	Marital status				
PB190 				1	Solter	Soltero	Single
PB190 				2	Casat	Casado	Married
PB190 				3	Separat	Separado	Separate
PB190 				4	Vidu	Viudo	Widower
PB190 				5	Divorciat	Divorciado	Divorced
PB190_F 	Variable que indica si PB190 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB190 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB190 is complete, if it is missing or if it is not applicable in the record in question.				
PB190_F 				1	Variable completada	Variable completada	Variable completed
PB190_F 				97	No hi consta	No consta	No answer
PB200 	Cònjugue o parella de fet	Cónyuge o pareja de hecho	Spouse or common-law partner				
PB200 				1	Sí, amb base jurídica	Sí, con base jurídica	Yes, with a legal basis
PB200 				2	Sí, sense base jurídica	Sí, sin base jurídica	Yes, without a legal basis
PB200 				3	No	No	No
PB200_F 	Variable que indica si PB200 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PB200 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PB200 is complete, if it is missing or if it is not applicable in the record in question.				
PB200_F 				1	Variable completada	Variable completada	Variable completed
PB200_F 				97	No hi consta	No consta	No answer
PE010 	Actualment està cursant algun tipus d'estudis o de formació?	¿Está cursando actualmente algún tipo de estudios o de formación?	Are you currently studying or training?				
PE010 				1	Sí	Sí	Yes
PE010 				2	No	No	No
PE010_F	Variable que indica si PE010 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PE010 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PE010 is complete, if it is missing or if it is not applicable in the record in question.				
PE010_F				1	Variable completada	Variable completada	Variable completed
PE010_F				97	No hi consta	No consta	No answer
PL060	Nombre d'hores treballades normalment per setmana a la feina principal	Número de horas trabajadas normalmente por semana en el trabajo principal	Number of hours worked normally per week in his/her main job				
PL060_F 	Variable que indica si PL060 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL060 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL060 is complete, if it is missing or if it is not applicable in the record in question.				
PL060_F 				1	Variable completada	Variable completada	Variable completed
PL060_F 				90	El nombre d'hores varia (fins i tot no és possible calcular una mitjana per a 4 setmanes)	El número de horas varía (incluso no es posible calcular una media para 4 semanas)	The number of hours varies (it is not even possible to calculate an average for 4 weeks)
PL060_F 				96	N.A. (Si PL032 ≠ 1)	N.A. (Si PL032 ≠ 1)	N/A (If PL032 ≠ 1)
PL060_F 				97	No hi consta	No consta	No answer
PL073	Nombre de mesos en què va treballar com a assalariat a temps complet durant el període de referència de la renda	Número de meses en que trabajó como asalariado a tiempo completo durante el período de referencia de la renta	Number of months in which he/she worked as a full-time employee during the income reference period				
PL073_F	Variable que indica si PL073 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL073 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL073 is complete, if it is missing or if it is not applicable in the record in question.				
PL073_F				1	Variable completada	Variable completada	Variable completed
PL073_F				97	No hi consta	No consta	No answer
PL074	Nombre de mesos en què va treballar com a assalariat a temps parcial durant el període de referència de la renda	Número de meses en que trabajó como asalariado a tiempo parcial durante el período de referencia de la renta	Number of months in which he/she worked as a part-time employee during the income reference period				
PL074_F	Variable que indica si PL074 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL074 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL074 is complete, if it is missing or if it is not applicable in the record in question.				
PL074_F				1	Variable completada	Variable completada	Variable completed
PL074_F				97	No hi consta	No consta	No answer
PL075	Nombre de mesos que va treballar per compte propi a temps complet durant el període de referència de la renda	Número de meses en que trabajó por cuenta propia a tiempo completo durante el período de referencia de la renta	Number of months in which he/she was full-time self-employed during the income reference period				
PL075_F	Variable que indica si PL075 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL075 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL075 is complete, if it is missing or if it is not applicable in the record in question.				
PL075_F				1	Variable completada	Variable completada	Variable completed
PL075_F				97	No hi consta	No consta	No answer
PL076	Nombre de mesos que va treballar per compte propi a temps parcial durant el període de referència de la renda	Número de meses en que trabajó por cuenta propia a tiempo parcial durante el período de referencia de la renta	Number of months in which he/she was part-time self-employed during the income reference period				
PL076_F	Variable que indica si PL076 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL076 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL076 is complete, if it is missing or if it is not applicable in the record in question.				
PL076_F				1	Variable completada	Variable completada	Variable completed
PL076_F				97	No hi consta	No consta	No answer
PL080	Nombre de mesos en situació de desocupació durant el període de referència de la renda	Número de meses en situación de desempleo durante el período de referencia de la renta	Number of months unemployed during the income reference period				
PL080_F	Variable que indica si PL080 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL080 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL080 is complete, if it is missing or if it is not applicable in the record in question.				
PL080_F				1	Variable completada	Variable completada	Variable completed
PL080_F				97	No hi consta	No consta	No answer
PL085	Nombre de mesos jubilat durant el període de referència de la renda	Número de meses jubilado durante el período de referencia de la renta	Number of months retired during the income reference period				
PL085_F	Variable que indica si PL085 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL085 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL085 is complete, if it is missing or if it is not applicable in the record in question.				
PL085_F				1	Variable completada	Variable completada	Variable completed
PL085_F				97	No hi consta	No consta	No answer
PL086	Nombre de mesos com a incapacitat permanent per treballar durant el període de referència de la renda	Número de meses como incapacitado permanente para trabajar durante el periodo de referencia de la renta	Number of months of permanent occupational invalidity during the income reference period				
PL086_F	Variable que indica si PL086 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL086 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL086 is complete, if it is missing or if it is not applicable in the record in question.				
PL086_F				1	Variable completada	Variable completada	Variable completed
PL086_F				97	No hi consta	No consta	No answer
PL087	Nombre de mesos en què ha estudiat durant el període de referència de la renda	Número de meses en los que ha estudiado durante el período de referencia de la renta	Number of months he/she studied during the income reference period				
PL087_F	Variable que indica si PL087 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL087 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL087 is complete, if it is missing or if it is not applicable in the record in question.				
PL087_F				1	Variable completada	Variable completada	Variable completed
PL087_F				97	No hi consta	No consta	No answer
PL089	Nombre de mesos dedicat a les feines de la llar, cura de nens, etc. durant el període de referència de la renda	Número de meses dedicado a las labores del hogar, cuidado de niños, etc. durante el período de referencia de la renta	Number of months spent as a homemaker, taking care of children, etc. during the income reference period				
PL089_F	Variable que indica si PL089 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL089 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL089 is complete, if it is missing or if it is not applicable in the record in question.				
PL089_F				1	Variable completada	Variable completada	Variable completed
PL089_F				97	No hi consta	No consta	No answer
PL090	Nombre de mesos en una altra classe d'inactivitat econòmica durant el període de referència de la renda	Número de meses en otra clase de inactividad económica durante el período de referencia de la renta	Number of months in another class of economic inactivity during the income reference period				
PL090_F	Variable que indica si PL090 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL090 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL090 is complete, if it is missing or if it is not applicable in the record in question.				
PL090_F				1	Variable completada	Variable completada	Variable completed
PL090_F				97	No hi consta	No consta	No answer
PL100	Nombre total d'hores treballades normalment al segon lloc de treball, tercer, etc.	Número total de horas normalmente trabajadas en el segundo puesto de trabajo, tercero, etc.	Total number of hours normally worked in the second, third job, etc.				
PL100_F	Variable que indica si PL100 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL100 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL100 is complete, if it is missing or if it is not applicable in the record in question.				
PL100_F				1	Variable completada	Variable completada	Variable completed
PL100_F				96	No aplicable	No aplicable	No applicable
PL100_F				97	No hi consta	No consta	No answer
PL111AA	Activitat de l'establiment del qual depèn o depenia laboralment	Actividad del establecimiento del que depende o dependía laboralmente	Activity of the establishment where he/she works or worked				
PL111AA				a	Agricultura, ramaderia, silvicultura i pesca	Agricultura, ganadería, silvicultura y pesca	Agriculture, livestock, forestry and fishing
PL111AA				b	Indústries extractives	Industrias extractivas	Extractive industries
PL111AA				c	Indústria manufacturera	Industria manufacturera	Manufacturing industry
PL111AA				d	Subministrament d'energia elèctrica, gas, etc.	Suministro de energía eléctrica, gas, etc. 	Electricity, gas, etc. supply.
PL111AA				e	Subministrament d'aigua. Gestió de residus	Suministro de agua. Gestión residuos	Water supply. Waste management
PL111AA				f	Construccó	Construcción	Construction
PL111AA				g	Comerç, reparació de vehicles de motor	Comercio, reparación de vehículos de motor	Trade, motor vehicle repair
PL111AA				h	Transport i emmagatzematge	Transporte y almacenamiento	Transport and storage
PL111AA				i	Hostaleria	Hostelería	Hospitality industry
PL111AA				j	Informació i comunicacions	Información y comunicaciones	Information and communications
PL111AA				k	Activitats financeres i d'assegurances	Actividades financieras y de seguros	Financial and insurance activities
PL111AA				l	Activitats immobiliàries	Actividades inmobiliarias	Real estate activities
PL111AA				m	Activitats professionals, científiques i tècniques	Actividades profesionales, científicas y técnicas	Professional, scientific and technical activities
PL111AA				n	Activitats administratives i serveis auxiliars	Actividades administrativas y servicios auxiliares 	Administrative activities and auxiliary services
PL111AA				o	Administració pública i defensa. Seguretat Social	Administración pública y defensa. Seguridad Social 	Public administration and defence. Social Security
PL111AA				p	Educació	Educación 	Education
PL111AA				q	Activitats sanitàries i de serveis socials	Actividades sanitarias y de servicios sociales 	Health and social services activities
PL111AA				r	Activitats artístiques, recreatives	Actividades artísticas, recreativas 	Artistic activities, recreational
PL111AA				s	Altres serveis	Otros servicios 	Other services
PL111AA				t	Llars com a ocupadors de personal domèstic	Hogares como empleadores de personal doméstico 	Households as employers of domestic staff
PL111AA				u	Organismes extraterritorials, no hi consta	Organismos extraterritoriales, no consta	Extraterritorial bodies, not recorded
PL111AA_F	Variable que indica si PL111AA està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL111AA está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL111AA is complete, if it is missing or if it is not applicable in the record in question.				
PL111AA_F				1	Variable completada	Variable completada	Variable completed
PL111AA_F				96	N.A. (Si PL032 ≠ 1)	N.A. (Si PL032 ≠ 1)	N/A (If PL032 ≠ 1)
PL111AA_F				97	No hi consta	No consta	No answer
PL111BA	Activitat de l'establiment de què depenia (última ocupació principal)	Actividad del establecimiento del que dependía (último empleo principal)	Activity of the establishment on which you were dependent (last main job)				
PL111BA				a	Agricultura, ramaderia, silvicultura i pesca	Agricultura, ganadería, silvicultura y pesca	Agriculture, livestock, forestry and fishing
PL111BA				b	Indústries extractives	Industrias extractivas	Extractive industries
PL111BA				c	Indústria manufacturera	Industria manufacturera	Manufacturing industry
PL111BA				d	Subministrament d'energia elèctrica, gas, etc.	Suministro de energía eléctrica, gas, etc.	Electricity, gas, etc. supply.
PL111BA				e	Subministrament d'aigua. Gestió de residus	Suministro de agua. Gestión residuos	Water supply. Waste management
PL111BA				f	Construccó	Construcción	Construction
PL111BA				g	Comerç, reparació de vehicles de motor	Comercio, reparación de vehículos de motor	Trade, motor vehicle repair
PL111BA				h	Transport i emmagatzematge	Transporte y almacenamiento	Transport and storage
PL111BA				i	Hostaleria	Hostelería	Hospitality industry
PL111BA				j	Informació i comunicacions	Información y comunicaciones	Information and communications
PL111BA				k	Activitats financeres i d'assegurances	Actividades financieras y de seguros	Financial and insurance activities
PL111BA				l	Activitats immobiliàries	Actividades inmobiliarias	Real estate activities
PL111BA				m	Activitats professionals, científiques i tècniques	Actividades profesionales, científicas y técnicas	Professional, scientific and technical activities
PL111BA				n	Activitats administratives i serveis auxiliars	Actividades administrativas y servicios auxiliares	Administrative activities and auxiliary services
PL111BA				o	Administració pública i defensa. Seguretat Social	Administración pública y defensa. Seguridad Social	Public administration and defence. Social Security
PL111BA				p	Educació	Educación	Education
PL111BA				q	Activitats sanitàries i de serveis socials	Actividades sanitarias y de servicios sociales	Health and social services activities
PL111BA				r	Activitats artístiques, recreatives	Actividades artísticas, recreativas	Artistic activities, recreational
PL111BA				s	Altres serveis	Otros servicios	Other services
PL111BA				t	Llars com a ocupadors de personal domèstic	Hogares como empleadores de personal doméstico	Households as employers of domestic staff
PL111BA				u	Organismes extraterritorials, no hi consta	Organismos extraterritoriales, no consta	Extraterritorial bodies, not recorded
PL111BA_F	Variable que indica si PL111BA està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL111BA está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL111BA is complete, if it is missing or if it is not applicable in the record in question.				
PL111BA_F				1	Variable completada	Variable completada	Variable completed
PL111BA_F				96	N.A.	N.A.	N/A
PL111BA_F				97	No hi consta	No consta	No answer
PL141	Tipus de contracte (durada)	Tipo de contrato (duración)	Type of contract (duration)				
PL141				11	Contracte escrit temporal de durada determinada	Contrato escrito temporal de duración determinada	Temporary fixed-term written contract
PL141				12	Contracte verbal temporal de durada determinada	Contrato verbal temporal de duración determinada	Temporary fixed-term verbal contract
PL141				21	Contracte escrit fix de durada indefinida	Contrato escrito fijo de duración indefinida	Permanent written contract of indefinite duration
PL141				22	Contracte verbal fix de durada indefinida	Contrato verbal fijo de duración indefinida	Permanent verbal contract of indefinite duration
PL141_F	Variable que indica si PL141 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL141 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL141 is complete, if it is missing or if it is not applicable in the record in question.				
PL141_F				1	Variable completada	Variable completada	Variable completed
PL141_F				96	N.A. (Si PL040A ≠ 3)	N.A. (Si PL040A ≠ 3)	N/A (If PL040A ≠ 3)
PL141_F				97	No hi consta	No consta	No answer
PL150	Supervisa/supervisava o coordina/coordinava la feina d'algun empleat de l'empresa o organisme on treballa/treballava?	¿Supervisa/supervisaba o coordina/coordinaba el trabajo de algún empleado de la empresa u organismo en el que trabaja/trabajaba?	Do or did you supervise or do or did you coordinate the work of any employee of the company or organisation where you work/worked?				
PL150				1	Sí	Sí	Yes
PL150				2	No	No	No
PL150_F	Variable que indica si PL150 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL150 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL150 is complete, if it is missing or if it is not applicable in the record in question.				
PL150_F				1	Variable completada	Variable completada	Variable completed
PL150_F				96	N.A. (Si PL040A ≠ 3)	N.A. (Si PL040A ≠ 3)	N/A (If PL040A ≠ 3)
PL150_F				97	No hi consta	No consta	No answer
PL200	Nombre d'anys passats a la feina remunerada	Número de años pasados en trabajo remunerado	Number of years spent in paid work				
PL200_F	Variable que indica si PL200 està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL200 está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL200 is complete, if it is missing or if it is not applicable in the record in question.				
PL200_F				1	Variable completada	Variable completada	Variable completed
PL200_F				96	N.A. (no ha treballat mai)	N.A. (no ha trabajado nunca)	N/A (never worked)
PL200_F				97	No hi consta	No consta	No answer
PL211A	Activitat principal a gener	Actividad principal en Enero	Main activity in January				
PL211A				1	Assalariat (temps complet)	Asalariado (tiempo completo)	Employee (full-time)
PL211A				2	Assalariat (temps parcial)	Asalariado (tiempo parcial)	Employee (part-time)
PL211A				3	Treballador per compte propi (temps complet)	Trabajador por cuenta propia (tiempo completo)	Self-employed worker (full time)
PL211A				4	Treballador per compte propi (temps parcial)	Trabajador por cuenta propia (tiempo parcial)	Self-employed worker (part-time)
PL211A				5	Aturat	Parado	Unemployed
PL211A				6	Estudiant, escolar o en formació	Estudiante, escolar o en formación	Student, school pupil or trainee
PL211A				7	Jubilat o retirat	Jubilado o retirado	Retired
PL211A				8	Incapacitat permanent per treballar	Incapacitado permanente para trabajar	Permanent incapacity to work
PL211A				10	Dedicat a les feines de la llar, cura de nens, etc.	Dedicado a las labores del hogar, cuidado de niños, etc.	Dedicated to homemaking, caring for children, etc.
PL211A				11	Un altre tipus d'inactivitat econòmica	Otro tipo de inactividad económica	Other type of economic inactivity
PL211A_F	Variable que indica si PL211A està completa, si falta o si no és aplicable al registre en qüestió.	Variable que indica si PL211A está completa, si falta o si no es aplicable en el registro en cuestión.	Variable that indicates if PL211A is complete, if it is missing or if it is not applicable in the record in question.				
PL211A_F				1	Variable completada	Variable completada	Variable completed
PL211A_F				97	No hi consta	No consta	No answer
PL211B	Activitat principal a febrer	Actividad principal en Febrero	Main activity in February				
