RK010	RK020	RK020_F	RK030	RK030_F	RK040	RK040_F	RK050	RK050_F	RK060	RK060_F	RK070	RK070_F	RK080	RK080_F
3660201	11	1	 	97	2	1	3	1	6	1	0	1	1	1
4000201	17	1	75	1	1	1	1	1	4	1	2	1	1	1
4850101	15	1	15	1	2	1	1	1	1	1	1	1	1	1
4860101	13	1	 	97	2	1	1	1	1	1	15	1	3	1
10560101	 	97	 	97	6	1	3	1	7	1	0	1	1	1
10560102	 	97	 	97	6	1	3	1	7	1	0	1	 	97
31350101	7	1	60	1	3	1	1	1	4	1	 	97	3	1
31630201	5	1	45	1	1	1	3	1	4	1	6	1	1	1
32700301	14	1	 	97	6	1	3	1	7	1	0	1	1	1
32700302	17	1	 	97	6	1	3	1	7	1	0	1	1	1
33170201	17	1	60	1	2	1	1	1	5	1	1	1	3	1
34130301	13	1	20	1	1	1	1	1	1	1	4	1	1	1
68160101	12	1	4	1	1	1	1	1	2	1	14	1	3	1
68160201	11	1	 	97	1	1	3	1	7	1	0	1	4	1
69060201	17	1	10	1	2	1	1	1	1	1	1	1	1	1
90390101	13	1	30	1	1	1	1	1	4	1	15	1	3	1
90390102	8	1	20	1	1	1	1	1	4	1	10	1	1	1
90660101	17	1	90	1	2	1	1	1	4	1	4	1	1	1
90660102	16	1	90	1	3	1	1	1	4	1	4	1	1	1
90720101	15	1	 	97	1	1	1	1	 	97	 	97	 	97
90720102	5	1	 	97	1	1	1	1	 	97	 	97	 	97
90720103	5	1	 	97	1	1	1	1	 	97	 	97	 	97
90720104	9	1	 	97	1	1	1	1	 	97	 	97	 	97
91160201	13	1	10	1	1	1	1	1	4	1	6	1	3	1
91250101	9	1	420	1	1	1	1	1	1	1	0	1	3	1
91520101	1	1	 	97	1	1	1	1	7	1	0	1	3	1
91590101	14	1	45	1	2	1	1	1	3	1	8	1	1	1
91680101	12	1	15	1	2	1	1	1	4	1	0	1	1	1
92100201	17	1	90	1	1	1	1	1	3	1	12	1	3	1
92330101	16	1	20	1	2	1	1	1	3	1	4	1	1	1
92330102	12	1	20	1	2	1	1	1	3	1	 	97	1	1
92360201	 	97	 	97	3	1	1	1	4	1	4	1	3	1
93150101	12	1	20	1	2	1	1	1	2	1	15	1	3	1
93390101	17	1	20	1	1	1	1	1	3	1	10	1	1	1
94280101	15	1	30	1	1	1	1	1	3	1	10	1	1	1
94280201	16	1	60	1	2	1	1	1	4	1	5	1	1	1
94380101	17	1	90	1	6	1	3	1	7	1	0	1	1	1
94660101	15	1	75	1	1	1	1	1	4	1	4	1	1	1
94900101	16	1	5	1	1	1	1	1	4	1	1	1	2	1
126230101	13	1	5	1	 	97	1	1	3	1	8	1	1	1
126230102	13	1	5	1	 	97	1	1	3	1	8	1	1	1
148650201	11	1	5	1	1	1	1	1	1	1	15	1	3	1
149260101	9	1	40	1	5	1	1	1	6	1	0	1	1	1
150430301	14	1	15	1	1	1	2	1	3	1	0	1	3	1
150430302	12	1	15	1	1	1	2	1	3	1	0	1	3	1
151720101	6	1	10	1	6	1	1	1	4	1	15	1	3	1
152370101	12	1	30	1	1	1	1	1	3	1	4	1	1	1
152870101	10	1	5	1	1	1	1	1	2	1	5	1	3	1
152980201	10	1	20	1	2	1	1	1	4	1	2	1	1	1
153350101	8	1	20	1	2	1	1	1	3	1	8	1	3	1
153910301	3	1	600	1	2	1	3	1	7	1	0	1	1	1
154760601	12	1	 	97	1	1	3	1	7	1	0	1	1	1
154760602	8	1	 	97	1	1	3	1	7	1	0	1	1	1
154920101	11	1	 	97	1	1	3	1	7	1	0	1	1	1
155150101	15	1	15	1	1	1	1	1	3	1	5	1	1	1
156680101	10	1	30	1	1	1	1	1	3	1	8	1	1	1
156810101	14	1	10	1	1	1	1	1	2	1	13	1	1	1
157020101	14	1	25	1	5	1	3	1	1	1	0	1	1	1
157260101	7	1	690	1	1	1	1	1	7	1	0	1	4	1
157260201	13	1	690	1	1	1	3	1	7	1	0	1	1	1
157260202	5	1	690	1	1	1	3	1	7	1	0	1	1	1
157260203	4	1	690	1	1	1	3	1	7	1	0	1	1	1
157350101	13	1	25	1	2	1	1	1	4	1	4	1	1	1
157520101	15	1	 	97	2	1	1	1	6	1	0	1	1	1
157520102	14	1	 	97	2	1	1	1	6	1	0	1	1	1
159030101	16	1	990	1	3	1	1	1	7	1	0	1	3	1
175770101	9	1	35	1	1	1	1	1	3	1	5	1	3	1
175770102	7	1	35	1	1	1	1	1	3	1	5	1	3	1
175770103	7	1	35	1	1	1	1	1	3	1	5	1	3	1
175880101	12	1	15	1	2	1	1	1	4	1	3	1	3	1
176380101	8	1	11	1	2	1	1	1	7	1	0	1	1	1
188160101	4	1	990	1	2	1	2	1	1	1	0	1	1	1
188160102	8	1	990	1	2	1	2	1	1	1	0	1	1	1
188160103	7	1	5	1	1	1	1	1	2	1	1	1	1	1
236260101	7	1	10	1	4	1	1	1	3	1	14	1	3	1
253370201	10	1	120	1	3	1	1	1	4	1	4	1	3	1
253370202	8	1	120	1	3	1	 	97	4	1	2	1	3	1
254320101	4	1	210	1	1	1	1	1	3	1	4	1	3	1
255030101	10	1	 	97	2	1	3	1	7	1	0	1	3	1
257960301	16	1	15	1	1	1	1	1	1	1	4	1	1	1
259500201	15	1	 	97	2	1	1	1	6	1	0	1	4	1
260520101	17	1	250	1	2	1	1	1	7	1	7	1	1	1
261050301	16	1	30	1	2	1	1	1	5	1	0	1	1	1
261780101	8	1	240	1	2	1	1	1	4	1	6	1	1	1
261780102	4	1	 	97	1	1	1	1	1	1	30	1	3	1
262070101	4	1	20	1	2	1	1	1	3	1	2	1	1	1
262070102	16	1	20	1	1	1	1	1	3	1	2	1	1	1
262350201	11	1	360	1	1	1	1	1	1	1	0	1	1	1
262740101	13	1	30	1	3	1	1	1	4	1	0	1	4	1
262740102	10	1	30	1	3	1	1	1	4	1	0	1	4	1
263070101	6	1	 	97	3	1	 	97	2	1	0	1	1	1
263490101	8	1	60	1	2	1	1	1	3	1	0	1	1	1
263710101	9	1	 	97	2	1	1	1	4	1	 	97	3	1
264000101	8	1	10	1	2	1	1	1	1	1	15	1	3	1
264000102	5	1	10	1	2	1	1	1	1	1	15	1	3	1
264270301	10	1	780	1	2	1	2	1	7	1	0	1	1	1
264270302	6	1	780	1	2	1	2	1	7	1	0	1	1	1
264270303	3	1	780	1	2	1	2	1	7	1	0	1	1	1
264740101	17	1	30	1	1	1	1	1	3	1	8	1	3	1
264820101	15	1	10	1	2	1	1	1	3	1	15	1	3	1
264820102	8	1	10	1	2	1	1	1	3	1	15	1	3	1
265160201	 	97	 	97	2	1	3	1	3	1	 	97	3	1
265160202	 	97	 	97	2	1	3	1	3	1	 	97	3	1
266050101	16	1	30	1	3	1	1	1	1	1	4	1	1	1
267300101	10	1	5	1	2	1	1	1	3	1	4	1	1	1
267870201	12	1	60	1	2	1	1	1	1	1	4	1	1	1
267870202	8	1	60	1	2	1	1	1	1	1	4	1	1	1
268170101	15	1	540	1	1	1	2	1	7	1	0	1	3	1
268170102	13	1	540	1	1	1	2	1	7	1	0	1	3	1
268170201	15	1	540	1	1	1	2	1	5	1	0	1	3	1
268170202	13	1	540	1	1	1	2	1	5	1	0	1	3	1
268230101	 	97	 	97	2	1	2	1	3	1	2	1	3	1
268270101	7	1	360	1	1	1	3	1	7	1	0	1	 	97
268270102	4	1	360	1	1	1	3	1	7	1	0	1	 	97
268310201	9	1	 	97	5	1	3	1	1	1	1	1	3	1
268430101	13	1	150	1	3	1	1	1	1	1	2	1	1	1
268630201	13	1	30	1	1	1	1	1	1	1	15	1	3	1
270370101	17	1	990	1	1	1	1	1	7	1	0	1	4	1
270370201	17	1	990	1	1	1	1	1	7	1	 	97	4	1
270570101	17	1	90	1	2	1	2	1	3	1	8	1	2	1
271420101	4	1	 	97	1	1	3	1	7	1	0	1	3	1
271530101	17	1	20	1	1	1	1	1	3	1	6	1	1	1
273020101	9	1	20	1	2	1	1	1	1	1	15	1	3	1
273120201	12	1	180	1	1	1	1	1	4	1	10	1	3	1
273120202	13	1	180	1	2	1	1	1	3	1	10	1	3	1
273370101	13	1	5	1	1	1	1	1	1	1	4	1	3	1
273370102	10	1	5	1	1	1	1	1	1	1	4	1	3	1
274610101	17	1	45	1	1	1	1	1	1	1	7	1	2	1
275270201	10	1	120	1	5	1	1	1	1	1	0	1	3	1
275530101	17	1	50	1	3	1	1	1	4	1	4	1	3	1
276010401	15	1	900	1	1	1	2	1	7	1	0	1	1	1
276010402	7	1	900	1	1	1	2	1	7	1	0	1	1	1
276150401	10	1	660	1	1	1	1	1	7	1	0	1	1	1
276320301	14	1	 	97	1	1	1	1	4	1	7	1	3	1
276530101	12	1	990	1	1	1	2	1	7	1	0	1	3	1
276530102	3	1	990	1	1	1	2	1	7	1	0	1	3	1
276530103	6	1	990	1	1	1	2	1	7	1	0	1	3	1
276530104	1	1	990	1	2	1	2	1	7	1	0	1	3	1
276580101	 	97	35	1	6	1	3	1	7	1	0	1	1	1
277580101	 	97	 	97	5	1	3	1	1	1	0	1	3	1
277580102	16	1	 	97	5	1	3	1	1	1	0	1	3	1
277580103	13	1	 	97	5	1	3	1	6	1	0	1	3	1
277580104	10	1	 	97	5	1	3	1	1	1	0	1	3	1
278490101	14	1	 	97	6	1	1	1	7	1	 	97	4	1
278610101	12	1	 	97	1	1	3	1	7	1	0	1	3	1
278610102	11	1	 	97	1	1	3	1	7	1	0	1	3	1
279100101	11	1	 	97	1	1	3	1	6	1	 	97	 	97
279140101	11	1	20	1	2	1	1	1	3	1	10	1	3	1
279640101	17	1	480	1	1	1	1	1	4	1	30	1	3	1
279790101	13	1	10	1	6	1	2	1	4	1	8	1	1	1
280450201	16	1	180	1	6	1	3	1	7	1	0	1	3	1
280630201	10	1	420	1	5	1	2	1	7	1	0	1	1	1
280630202	7	1	420	1	5	1	3	1	6	1	0	1	1	1
281070201	17	1	 	97	2	1	1	1	6	1	 	97	3	1
281070202	15	1	 	97	2	1	1	1	6	1	 	97	3	1
281070301	17	1	 	97	2	1	1	1	6	1	 	97	3	1
281070302	15	1	 	97	2	1	1	1	6	1	 	97	3	1
281390201	4	1	30	1	2	1	1	1	1	1	8	1	3	1
281880201	1	1	470	1	1	1	3	1	7	1	0	1	 	97
281880202	4	1	470	1	1	1	3	1	7	1	0	1	 	97
282570101	1	1	7	1	1	1	1	1	1	1	1	1	3	1
283200301	14	1	720	1	1	1	2	1	1	1	0	1	1	1
